Title,Component,Story,WCAG Rule,WCAG Level,Impact,Category,Status,Fix Description,Nodes
Add stories for plugin-settings components,PluginSettings,,Story Coverage,N/A,moderate,Story Coverage,Not started,Plugin settings form needs stories for a11y scanning,
Form elements must have labels in UI,UI,ui-input--file,label,A,critical,ARIA / Names,Done,Fixed: Ensure every form element has a label,1
Buttons must have discernible text in UI,UI,ui-select--default,button-name,A,critical,ARIA / Names,Done,Fixed: Ensure buttons have discernible text,1
Buttons must have discernible text in Design System,Design System,design-system-inventory--all-components,button-name,A,critical,ARIA / Names,Done,Fixed: Ensure buttons have discernible text,1
Elements must meet minimum color contrast ratio thresholds in Components,Components,components-boarddisplay--loading-transition,color-contrast,AA,serious,Color Contrast,Done,Fixed: Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,3
Elements must meet minimum color contrast ratio thresholds in UI,UI,ui-react-bits-fadecontent--with-delay,color-contrast,AA,serious,Color Contrast,Done,Fixed: Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,2
Interactive controls must not be nested in Forms,Forms,forms-dayselector--custom-selection,nested-interactive,A,serious,Markup / Semantics,Done,Fixed: Ensure interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies,1
Scrollable region must have keyboard access in UI,UI,ui-scrollarea--vertical,scrollable-region-focusable,A,serious,Keyboard / Focus,Done,Fixed: Ensure elements that have scrollable content are accessible by keyboard,1
Document should have one main landmark in Layout,Layout,layout-activepagedisplay--manual-mode,landmark-one-main,Best Practice,moderate,Markup / Semantics,Done,Fixed: Ensure the document has a main landmark,1
Document should have one main landmark in Components,Components,components-boarddisplay--default,landmark-one-main,Best Practice,moderate,Markup / Semantics,Done,Fixed: Ensure the document has a main landmark,1
Document should have one main landmark in Forms,Forms,forms-dayselector--all-days,landmark-one-main,Best Practice,moderate,Markup / Semantics,Done,Fixed: Ensure the document has a main landmark,1
Document should have one main landmark in UI,UI,ui-accordion--default,landmark-one-main,Best Practice,moderate,Markup / Semantics,Done,Fixed: Ensure the document has a main landmark,1
Document should have one main landmark in Design System,Design System,design-system-inventory--all-components,landmark-one-main,Best Practice,moderate,Markup / Semantics,Done,Fixed: Ensure the document has a main landmark,1
Page should contain a level-one heading in Layout,Layout,layout-activepagedisplay--manual-mode,page-has-heading-one,Best Practice,moderate,Markup / Semantics,Done,"Fixed: Ensure that the page, or at least one of its frames contains a level-one heading",1
Page should contain a level-one heading in Components,Components,components-boarddisplay--default,page-has-heading-one,Best Practice,moderate,Markup / Semantics,Done,"Fixed: Ensure that the page, or at least one of its frames contains a level-one heading",1
Page should contain a level-one heading in Forms,Forms,forms-dayselector--all-days,page-has-heading-one,Best Practice,moderate,Markup / Semantics,Done,"Fixed: Ensure that the page, or at least one of its frames contains a level-one heading",1
Page should contain a level-one heading in UI,UI,ui-accordion--default,page-has-heading-one,Best Practice,moderate,Markup / Semantics,Done,"Fixed: Ensure that the page, or at least one of its frames contains a level-one heading",1
Page should contain a level-one heading in Design System,Design System,design-system-inventory--compact-showcase,page-has-heading-one,Best Practice,moderate,Markup / Semantics,Done,"Fixed: Ensure that the page, or at least one of its frames contains a level-one heading",1
All page content should be contained by landmarks in Layout,Layout,layout-activepagedisplay--manual-mode,region,Best Practice,moderate,Markup / Semantics,Done,Fixed: Ensure all page content is contained by landmarks,47
All page content should be contained by landmarks in Components,Components,components-boarddisplay--default,region,Best Practice,moderate,Markup / Semantics,Done,Fixed: Ensure all page content is contained by landmarks,30
All page content should be contained by landmarks in Forms,Forms,forms-dayselector--all-days,region,Best Practice,moderate,Markup / Semantics,Done,Fixed: Ensure all page content is contained by landmarks,1
All page content should be contained by landmarks in UI,UI,ui-accordion--all-types,region,Best Practice,moderate,Markup / Semantics,Done,Fixed: Ensure all page content is contained by landmarks,2
All page content should be contained by landmarks in Design System,Design System,design-system-inventory--all-components,region,Best Practice,moderate,Markup / Semantics,Done,Fixed: Ensure all page content is contained by landmarks,23
Heading levels should only increase by one in Design System,Design System,design-system-inventory--all-components,heading-order,Best Practice,moderate,Markup / Semantics,Done,Fixed: Ensure the order of headings is semantically correct,1
